,attackTypeList,successfulAttackList,hostagesList,ransomList,propertyDamageList,suicideAttackList,partOfMultipleIncidentList,typeOfWeaponList,subTypeOfWeaponList
2258,Armed Assault,Yes,Yes,Unknown,No,No,No,Unknown,Unknown
2259,Unknown,No,No,No,Unknown,No,No,Unknown,Unknown
2260,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2261,Armed Assault,Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
2262,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2263,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2264,Unknown,No,No,No,No,No,No,Unknown,Unknown
2265,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2266,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2267,Armed Assault,Yes,Yes,Unknown,No,No,No,Firearms,Unknown Gun Type
2268,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2269,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2270,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2271,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2272,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2273,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2274,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2275,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2276,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2277,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2278,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2279,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2280,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2281,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2282,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2283,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Vehicle
2284,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
2285,Assassination,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2286,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2287,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2288,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2289,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2290,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2291,Assassination,No,No,No,No,No,Yes,Explosives,Letter Bomb
2292,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2293,Bombing/Explosion,Yes,No,No,No,No,Yes,Explosives,Other Explosive Type
2294,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2295,Assassination,No,No,No,No,No,Yes,Explosives,Letter Bomb
2296,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2297,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2298,Bombing/Explosion,No,No,No,No,No,No,Explosives,Land Mine
2299,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2300,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2301,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2302,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
2303,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2304,Armed Assault,Yes,Yes,No,No,No,No,Unknown,Unknown
2305,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
2306,Bombing/Explosion,No,No,No,No,No,No,Explosives,Grenade
2307,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2308,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2309,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2310,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Pipe Bomb
2311,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Arson/Fire
2312,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Arson/Fire
2313,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2314,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2315,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2316,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Arson/Fire
2317,Assassination,No,No,No,No,No,Yes,Explosives,Letter Bomb
2318,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2319,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2320,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Letter Bomb
2321,Assassination,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2322,Assassination,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2323,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
2324,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2325,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2326,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2327,Bombing/Explosion,No,No,No,No,No,No,Explosives,Vehicle
2328,Assassination,No,No,No,Yes,No,No,Explosives,Vehicle
2329,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2330,Bombing/Explosion,Yes,Yes,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
2331,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2332,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2333,Armed Assault,Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
2334,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2335,Assassination,Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
2336,Armed Assault,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
2337,Armed Assault,Yes,Yes,No,No,No,No,Unknown,Unknown
2338,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",Unknown
2339,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2340,Assassination,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2341,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2342,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2343,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2344,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2345,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2346,Bombing/Explosion,No,No,No,No,No,Yes,Explosives,Letter Bomb
2347,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2348,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Unknown Explosive Type
2349,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Suicide (carried bodily by human being)
2350,Armed Assault,Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
2351,Bombing/Explosion,No,No,No,No,No,No,Explosives,Unknown Explosive Type
2352,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
2353,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2354,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
2355,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2356,Assassination,No,No,No,Yes,No,No,Explosives,Sticky Bomb
2357,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2358,Assassination,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2359,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
2360,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2361,Hostage Taking (Kidnapping),Yes,Yes,No,Unknown,No,No,Unknown,Unknown
2362,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2363,Bombing/Explosion,No,No,No,No,No,No,Explosives,Sticky Bomb
2364,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
2365,Armed Assault,Yes,No,No,Yes,No,No,Unknown,Unknown
2366,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
2367,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2368,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2369,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2370,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2371,Armed Assault,Yes,Yes,No,No,No,No,Unknown,Unknown
2372,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
2373,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2374,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2375,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2376,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2377,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2378,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2379,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2380,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2381,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2382,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2383,Armed Assault,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
2384,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2385,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2386,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
2387,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Other Explosive Type
2388,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
2389,Bombing/Explosion,No,No,No,No,No,No,Explosives,Dynamite/TNT
2390,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
2391,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
2392,Assassination,No,No,No,No,Yes,No,Explosives,Suicide (carried bodily by human being)
2393,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
2394,Armed Assault,Yes,No,No,Yes,No,No,Melee,"Hands, Feet, Fists"
2395,Armed Assault,Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
2396,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2397,Facility/Infrastructure Attack,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2398,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2399,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
2400,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2401,Assassination,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2402,Armed Assault,Yes,Yes,No,No,No,No,Unknown,Unknown
2403,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2404,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
2405,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2406,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
2407,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
2408,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
2409,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
2410,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
2411,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2412,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2413,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2414,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2415,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2416,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
2417,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
2418,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2419,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2420,Assassination,No,No,No,No,No,No,Explosives,Other Explosive Type
2421,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2422,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2423,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
2424,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2425,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2426,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2427,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
2428,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
2429,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
2430,Armed Assault,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2431,Armed Assault,Yes,No,No,Yes,Yes,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
2432,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2433,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
2434,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2435,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
2436,Assassination,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2437,Bombing/Explosion,Yes,No,No,No,No,Yes,Explosives,Other Explosive Type
2438,Bombing/Explosion,Yes,No,No,No,No,Yes,Explosives,Other Explosive Type
2439,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2440,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
2441,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2442,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2443,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2444,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2445,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2446,Assassination,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2447,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2448,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2449,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2450,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
2451,Armed Assault,Yes,Yes,No,No,No,No,Unknown,Unknown
2452,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
2453,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
2454,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2455,Bombing/Explosion,No,No,No,No,No,No,Explosives,Vehicle
2456,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,Yes,Unknown,Unknown
2457,Armed Assault,Yes,Yes,No,No,No,Yes,Unknown,Unknown
2458,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2459,Armed Assault,Yes,No,No,Yes,No,No,Unknown,Unknown
2460,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2461,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2462,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2463,Assassination,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2464,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
2465,Armed Assault,No,No,No,Yes,No,No,Firearms,Unknown Gun Type
2466,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
2467,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2468,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2469,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
2470,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2471,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Land Mine
2472,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2473,Unknown,Yes,No,No,No,No,No,Unknown,Unknown
2474,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2475,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
2476,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2477,Armed Assault,Yes,No,No,Unknown,No,Yes,Firearms,Unknown Gun Type
2478,Armed Assault,Yes,No,No,Unknown,No,Yes,Firearms,Unknown Gun Type
2479,Armed Assault,Yes,Yes,No,Unknown,No,No,Melee,"Hands, Feet, Fists"
2480,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2481,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
2482,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2483,Bombing/Explosion,Yes,Yes,No,Yes,Yes,No,Firearms,Unknown Gun Type
2484,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2485,Assassination,No,No,No,Yes,No,No,Explosives,Vehicle
2486,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2487,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Sticky Bomb
2488,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Sticky Bomb
2489,Assassination,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2490,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2491,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2492,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2493,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
2494,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2495,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2496,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
2497,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
2498,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2499,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Other Explosive Type
2500,Armed Assault,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
2501,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2502,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2503,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2504,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
2505,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2506,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2507,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2508,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2509,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2510,Assassination,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2511,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2512,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2513,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2514,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2515,Bombing/Explosion,Yes,No,No,Yes,Yes,No,Explosives,Vehicle
2516,Assassination,No,No,No,Yes,No,No,Explosives,Vehicle
2517,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2518,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2519,Assassination,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2520,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
2521,Assassination,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2522,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2523,Bombing/Explosion,No,No,No,No,No,No,Explosives,Unknown Explosive Type
2524,Hostage Taking (Kidnapping),Yes,Yes,No,Unknown,No,No,Unknown,Unknown
2525,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2526,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2527,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2528,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2529,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
2530,Hostage Taking (Kidnapping),Yes,Yes,No,Unknown,No,No,Unknown,Unknown
2531,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2532,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2533,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2534,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
2535,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2536,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,Unknown Explosive Type
2537,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,Remote Trigger
2538,Armed Assault,No,No,No,No,No,No,Firearms,Unknown Gun Type
2539,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2540,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2541,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
2542,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2543,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
2544,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2545,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2546,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2547,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2548,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2549,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2550,Armed Assault,Yes,Yes,No,Unknown,No,No,Unknown,Unknown
2551,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2552,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
2553,Bombing/Explosion,Yes,No,No,No,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
2554,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
2555,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2556,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2557,Bombing/Explosion,No,No,No,No,No,No,Explosives,Other Explosive Type
2558,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
2559,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Firearms,Unknown Gun Type
2560,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2561,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
2562,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2563,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2564,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2565,Assassination,No,No,No,Yes,No,No,Explosives,Other Explosive Type
2566,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2567,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2568,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Sticky Bomb
2569,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2570,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2571,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2572,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
2573,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Other Explosive Type
2574,Hostage Taking (Kidnapping),Yes,Yes,No,Unknown,No,No,Unknown,Unknown
2575,Bombing/Explosion,Yes,No,No,Unknown,No,No,Explosives,Other Explosive Type
2576,Armed Assault,Yes,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2577,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2578,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2579,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2580,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2581,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2582,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Other Explosive Type
2583,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2584,Armed Assault,Yes,No,No,No,No,No,Firearms,Unknown Gun Type
2585,Hostage Taking (Kidnapping),Yes,Yes,No,Yes,No,No,Unknown,Unknown
2586,Armed Assault,No,No,No,Unknown,No,No,Firearms,Unknown Gun Type
2587,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2588,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
2589,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Other Explosive Type
2590,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
2591,Assassination,No,No,No,Yes,No,No,Explosives,Vehicle
2592,Unknown,Yes,No,No,Unknown,No,No,Unknown,Unknown
2593,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Unknown Gun Type
