,attackTypeList,successfulAttackList,hostagesList,ransomList,propertyDamageList,suicideAttackList,partOfMultipleIncidentList,typeOfWeaponList,subTypeOfWeaponList
3098,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3099,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3100,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3101,Hijacking,Yes,No,No,No,No,No,Unknown,Unknown
3102,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3103,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
3104,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Pipe Bomb
3105,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3106,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3107,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
3108,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
3109,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3110,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3111,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3112,Assassination,No,No,No,No,No,No,Firearms,Automatic Weapon
3113,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3114,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3115,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3116,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3117,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3118,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3119,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3120,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3121,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3122,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
3123,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3124,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
3125,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3126,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3127,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3128,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3129,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3130,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3131,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3132,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3133,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3134,Assassination,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3135,Assassination,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3136,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3137,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3138,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3139,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3140,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3141,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
3142,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3143,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3144,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3145,Armed Assault,Yes,No,No,No,No,No,Firearms,Handgun
3146,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3147,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3148,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3149,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3150,Armed Assault,Yes,No,No,Yes,No,No,Explosives,Grenade
3151,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
3152,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3153,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3154,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3155,Assassination,Yes,No,No,No,No,No,Unknown,Unknown
3156,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3157,Assassination,No,No,No,No,No,No,Firearms,Handgun
3158,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3159,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3160,Hostage Taking (Kidnapping),Yes,Yes,Yes,No,No,No,Firearms,Automatic Weapon
3161,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3162,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
3163,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3164,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3165,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3166,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
3167,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3168,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3169,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3170,Assassination,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3171,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
3172,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
3173,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Arson/Fire
3174,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3175,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
3176,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
3177,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3178,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3179,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3180,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3181,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3182,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3183,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3184,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3185,Armed Assault,Yes,No,No,Yes,No,No,Incendiary,Unknown
3186,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3187,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3188,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3189,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3190,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3191,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3192,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3193,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3194,Assassination,No,No,No,No,No,No,Firearms,Handgun
3195,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3196,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3197,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3198,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3199,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3200,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3201,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
3202,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3203,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
3204,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
3205,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
3206,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
3207,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
3208,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
3209,Facility/Infrastructure Attack,Yes,No,No,Yes,No,Yes,Incendiary,Unknown
3210,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3211,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3212,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3213,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3214,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3215,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3216,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3217,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
3218,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3219,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3220,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3221,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
3222,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3223,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3224,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3225,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3226,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3227,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3228,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3229,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3230,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3231,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
3232,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3233,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3234,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
3235,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3236,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3237,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3238,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3239,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3240,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3241,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3242,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3243,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Vehicle
3244,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3245,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3246,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3247,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3248,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3249,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3250,Assassination,No,No,No,No,No,No,Firearms,Handgun
3251,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3252,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3253,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3254,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
3255,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3256,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3257,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
3258,Assassination,No,No,No,No,No,No,Explosives,Unknown Explosive Type
3259,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3260,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3261,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
3262,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3263,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3264,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3265,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3266,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3267,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3268,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
3269,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3270,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3271,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3272,Assassination,Yes,No,No,No,No,No,Melee,Knife or Other Sharp Object
3273,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3274,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
3275,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3276,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
3277,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3278,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3279,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3280,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
3281,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
3282,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Grenade
3283,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3284,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3285,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3286,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3287,Assassination,No,No,No,No,No,No,Explosives,Vehicle
3288,Facility/Infrastructure Attack,No,No,No,Yes,No,No,Incendiary,Unknown
3289,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3290,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Vehicle
3291,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3292,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3293,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
3294,Assassination,Yes,No,No,Yes,No,No,Firearms,Handgun
3295,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3296,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3297,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3298,Assassination,No,No,No,No,No,No,Unknown,Unknown
3299,Assassination,No,No,No,No,No,No,Firearms,Automatic Weapon
3300,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Pipe Bomb
3301,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3302,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3303,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3304,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
3305,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3306,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3307,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3308,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3309,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3310,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3311,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3312,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3313,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3314,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3315,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3316,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
3317,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3318,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3319,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
3320,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3321,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3322,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3323,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3324,Assassination,No,No,No,No,No,No,Firearms,Handgun
3325,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3326,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3327,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3328,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3329,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3330,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3331,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3332,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3333,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3334,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3335,Assassination,No,No,No,No,No,No,Melee,Knife or Other Sharp Object
3336,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3337,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3338,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3339,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3340,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3341,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3342,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3343,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3344,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3345,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3346,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3347,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,"Projectile (rockets, mortars, RPGs, etc.)"
3348,Hostage Taking (Kidnapping),Yes,Yes,No,Yes,No,No,Unknown,Unknown
3349,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3350,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3351,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
3352,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3353,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
3354,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3355,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3356,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
3357,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
3358,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
3359,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
3360,Bombing/Explosion,Yes,No,No,Yes,No,Yes,Explosives,Unknown Explosive Type
3361,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3362,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Dynamite/TNT
3363,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3364,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3365,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3366,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Dynamite/TNT
3367,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3368,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3369,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
3370,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3371,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3372,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3373,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3374,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3375,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3376,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3377,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3378,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3379,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3380,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3381,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3382,Hijacking,Yes,No,No,No,No,No,Firearms,Handgun
3383,Assassination,No,No,No,No,No,No,Firearms,Handgun
3384,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3385,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3386,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3387,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
3388,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3389,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3390,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3391,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3392,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3393,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3394,Assassination,No,No,No,No,No,No,Firearms,Automatic Weapon
3395,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3396,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3397,Bombing/Explosion,No,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3398,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3399,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3400,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3401,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3402,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
3403,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3404,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3405,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3406,Armed Assault,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3407,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3408,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3409,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3410,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3411,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3412,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3413,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3414,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3415,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Handgun
3416,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3417,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3418,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Land Mine
3419,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3420,Assassination,Yes,No,No,No,No,No,Unknown,Unknown
3421,Armed Assault,No,No,No,No,No,No,Firearms,Handgun
3422,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3423,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3424,Bombing/Explosion,Yes,No,No,Yes,No,No,Explosives,Unknown Explosive Type
3425,Hostage Taking (Kidnapping),Yes,Yes,No,No,No,No,Unknown,Unknown
3426,Hostage Taking (Kidnapping),No,No,No,No,No,No,Firearms,Handgun
3427,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
3428,Armed Assault,Yes,No,No,Yes,No,No,Melee,Knife or Other Sharp Object
3429,Unknown,Yes,No,No,Yes,No,No,Unknown,Unknown
3430,Armed Assault,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3431,Bombing/Explosion,Yes,No,No,Yes,No,No,Firearms,Automatic Weapon
3432,Assassination,Yes,No,No,No,No,No,Firearms,Automatic Weapon
3433,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3434,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3435,Assassination,Yes,No,No,No,No,No,Firearms,Handgun
3436,Assassination,No,No,No,No,No,No,Chemical,Unknown
3437,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
3438,Facility/Infrastructure Attack,Yes,No,No,Yes,No,No,Incendiary,Unknown
